"av_code","codigo_antiguo","nombre","titulo_copy1","descripcion_copy2","texto_principal_copy3","url_meta","url_youtube"
"AV029","AV2779","INVERSORES","Ya eres inversor, pero a veces dudas de si estás construyendo futuro o solo moviendo dinero.","Invertir bien no es hacer más. Es hacer con intención.","Esta semana es para quienes ya invierten, pero están en búsqueda de una estrategia sólida y alineada con su vida.","https://lainversionsiesparati.com/av029/?r={{ad.id}}","https://lainversionsiesparati.com/av029/?r=AY{creative}"
"AV030","AV1906","BOMBEROS","Eres un héroe que cuida de todos… pero, ¿quién cuida de ti?","Tu tranquilidad financiera también puede entrenarse.","Tu dedicación y sacrificio son incomparables, pero es hora de que tu esfuerzo no solo se traduzca en adrenalina.","https://lainversionsiesparati.com/av030/?r={{ad.id}}","https://lainversionsiesparati.com/av030/?r=AY{creative}"
"AV031","AV0300","CANALIZADORES","Sabes cómo funciona la vida… pero no cómo hacer que tu dinero evolucione.","El conocimiento sin estrategia no transforma tu futuro.","Esta semana te muestra una forma lógica de crecer financieramente.","https://lainversionsiesparati.com/av031/?r={{ad.id}}","https://lainversionsiesparati.com/av031/?r=AY{creative}"
"AV032","AV2717","CAZADORES DE RENTABILIDAD SIN FORMACIÓN FINANCIERA","Si sigues buscando el “siguiente pelotazo”, esto te va a incomodar.","No es suerte. Es estrategia y método.","Esta semana te enseña cómo dejar de improvisar.","https://lainversionsiesparati.com/av032/?r={{ad.id}}","https://lainversionsiesparati.com/av032/?r=AY{creative}"
"AV033","AV0200","DESARROLLO PERSONAL","Has trabajado tu mente, tu energía, tu historia… pero tu dinero sigue bloqueado.","No hay evolución completa si tus finanzas te siguen doliendo.","Ya has hecho el trabajo interno. Esta semana es para que tu relación con el dinero también evolucione.","https://lainversionsiesparati.com/av033/?r={{ad.id}}","https://lainversionsiesparati.com/av033/?r=AY{creative}"
"AV034","AV2727","EMPLEADOS DE BANCA O SEGUROS QUE QUIEREN INVERTIR POR SU CUENTA","Llevas años viendo el sistema por dentro.","Sabes cómo se mueve el dinero desde dentro, y eso te da una ventaja única.","La Semana de la Inversión puede darte las claves que te faltan para convertir tu conocimiento técnico en libertad personal.","https://lainversionsiesparati.com/av034/?r={{ad.id}}","https://lainversionsiesparati.com/av034/?r=AY{creative}"
"AV035","AV2735","INVERSORES EN FONDOS INDEXADOS (INDEXA / MYINVESTOR)","Ya diste el primer paso… pero sabes que algo más podrías estar haciendo.","Lo simple funciona, pero ¿es suficiente?","Esta semana es para quienes quieren ir más allá del promedio.","https://lainversionsiesparati.com/av035/?r={{ad.id}}","https://lainversionsiesparati.com/av035/?r=AY{creative}"
"AV036","AV2736","INVERSORES INMOBILIARIOS","Ya juegas con el ladrillo, pero tu dinero sigue atrapado en un solo modelo.","Diversificar no es complicarse. Es protegerse.","Esta semana te muestra otra forma de rentabilizar con sentido.","https://lainversionsiesparati.com/av036/?r={{ad.id}}","https://lainversionsiesparati.com/av036/?r=AY{creative}"
"AV037","AV2753","PERSONAS CON MIEDO A LA INFLACIÓN COMIÉNDOSE SUS AHORROS","Tu dinero duerme en el banco… mientras los precios suben y tus ahorros valen cada vez menos.","No pierdas valor sin darte cuenta. Es hora de aprender a proteger lo que ya has conseguido.","Esta semana es para quienes no quieren ver cómo su esfuerzo se evapora año tras año.","https://lainversionsiesparati.com/av037/?r={{ad.id}}","https://lainversionsiesparati.com/av037/?r=AY{creative}"
"AV038","AV2400","PERSONAS CON CARGO DE LIDERAZGO","Ayudas a otros a fortalecerse… pero tu dinero sigue débil.","No es esfuerzo físico, es dirección financiera.","Esta semana es para quienes saben entrenar… y ahora quieren avanzar.","https://lainversionsiesparati.com/av038/?r={{ad.id}}","https://lainversionsiesparati.com/av038/?r=AY{creative}"
"AV039","AV2754","PERSONAS QUE HAN RECIBIDO UNA INDEMNIZACIÓN","Has recibido una indemnización… pero no sabes cómo usar ese dinero sin miedo a perderlo.","No dejes que una oportunidad única se convierta en un problema a largo plazo.","Esta semana es para quienes quieren transformar una indemnización en una base sólida para el futuro.","https://lainversionsiesparati.com/av039/?r={{ad.id}}","https://lainversionsiesparati.com/av039/?r=AY{creative}"
"AV040","AV2755","PERSONAS QUE INVIRTIERON MAL Y TIENEN MIEDO A VOLVER A HACERLO","Una mala inversión te marcó… y desde entonces prefieres no arriesgar, aunque eso te frene.","Aprende ahora cómo hacerlo bien y empieza a tomar decisiones que te den resultados reales.","Esta semana es para quienes tropezaron una vez… pero aún no han perdido las ganas de levantarse.","https://lainversionsiesparati.com/av040/?r={{ad.id}}","https://lainversionsiesparati.com/av040/?r=AY{creative}"
"AV041","AV2756","PERSONAS QUE PIENSAN QUE INVERTIR ES SOLO PARA RICOS","Crees que invertir es solo para quienes ya tienen mucho… y eso te deja siempre fuera del juego.","No necesitas miles. Solo saber por dónde empezar y cómo hacerlo bien.","Esta semana es para quienes quieren aprender a invertir… sin importar cuánto tengan hoy en el banco.","https://lainversionsiesparati.com/av041/?r={{ad.id}}","https://lainversionsiesparati.com/av041/?r=AY{creative}"
"AV042","AV2757","PERSONAS QUE QUIEREN EMPEZAR A INVERTIR Y NO SABEN POR DÓNDE","Sabes que es momento de mover tu dinero… pero no entiendes ni el primer paso del camino.","No necesitas ser experto. Solo alguien que te enseñe desde cero y sin humo.","Esta semana es para quienes no buscan fórmulas mágicas… solo claridad para empezar.","https://lainversionsiesparati.com/av042/?r={{ad.id}}","https://lainversionsiesparati.com/av042/?r=AY{creative}"
"AV043","AV2758","PERSONAS QUE SOLO CONFÍAN EN EL LADRILLO Y NO CONOCEN MÁS","Siempre te han dicho que lo seguro es el ladrillo… y por eso no miras más allá.","No se trata de dejarlo. Se trata de abrir nuevas posibilidades sin ponerlo en riesgo.","Esta semana es para quienes han invertido en propiedades, pero creen que su dinero podría hacer algo más.","https://lainversionsiesparati.com/av043/?r={{ad.id}}","https://lainversionsiesparati.com/av043/?r=AY{creative}"
"AV044","AV2759","PERSONAS QUE YA HICIERON CURSOS DE INVERSIÓN PERO NO ACCIONARON","Has hecho formaciones, cursos, talleres… pero tu dinero aún sigue quieto.","Saber sin actuar no cambia tu futuro. Pero esta vez, sí hay un paso claro.","Esta semana es para quienes ya aprendieron teoría… y ahora están listos para moverse.","https://lainversionsiesparati.com/av044/?r={{ad.id}}","https://lainversionsiesparati.com/av044/?r=AY{creative}"
"AV045","AV2760","PERSONAS CON HERENCIAS","Has recibido una herencia y sabes que no puedes permitirte malgastarla o dejarla sin rumbo.","Tomar buenas decisiones hoy puede marcar tu tranquilidad del mañana.","Esta semana es para quienes quieren proteger lo que otros construyeron… y hacerlo crecer con sentido.","https://lainversionsiesparati.com/av045/?r={{ad.id}}","https://lainversionsiesparati.com/av045/?r=AY{creative}"
"AV046","AV1100","PERSONAS JUBILADAS","Terminaste de trabajar, pero no de preocuparte por el dinero.","Tras años de esfuerzo, mereces algo más que una pensión que apenas te alcanza.","Esta semana puedes descubrir cómo hacer que tus ahorros trabajen… y encontrar por fin la calma que buscas.","https://lainversionsiesparati.com/av046/?r={{ad.id}}","https://lainversionsiesparati.com/av046/?r=AY{creative}"
"AV047","AV2761","INVERSORES EN CRIPTOMONEDAS QUE QUIEREN DIVERSIFICAR","Ya diste el salto a cripto… pero sabes que ponerlo todo en un solo sitio también es un riesgo.","Diversificar no es dudar. Es proteger todo lo que ya lograste.","Esta semana es para quienes entraron en cripto con ganas… pero quieren tener más que una sola apuesta.","https://lainversionsiesparati.com/av047/?r={{ad.id}}","https://lainversionsiesparati.com/av047/?r=AY{creative}"
"AV048","AV2777","NUEVOS INVERSORES BLOQUEADOS POR CREENCIAS O FALTA DE ACCIÓN","Sabes que tienes que empezar, pero algo dentro de ti sigue apagando ese impulso.","El primer paso no es técnico. Es mental.","Esta semana es para quienes quieren invertir… pero primero necesitan desbloquearse por dentro.","https://lainversionsiesparati.com/av048/?r={{ad.id}}","https://lainversionsiesparati.com/av048/?r=AY{creative}"
"AV049","AV2100","APUESTAS / INVERSIONES ARRIESGADAS","Si ya perdiste dinero intentando “ganar rápido”, esto te va a sorprender.","No se trata de suerte ni de jugársela.","Esta vez vas a entender cómo se invierte con cabeza.","https://lainversionsiesparati.com/av049/?r={{ad.id}}","https://lainversionsiesparati.com/av049/?r=AY{creative}"
"AV050","AV2711","AUXILIARES ADMINISTRATIVOS","Gestionas tareas, horarios y presupuestos… pero tu propio dinero se te sigue escapando.","No debería costarte tanto organizar lo más importante: tus finanzas personales.","Esta semana es para quienes controlan el trabajo… pero quieren controlar también su dinero.","https://lainversionsiesparati.com/av050/?r={{ad.id}}","https://lainversionsiesparati.com/av050/?r=AY{creative}"
"AV051","AV2712","AUXILIARES DE GERIATRÍA","Estás siempre al cuidado… pero tu futuro económico aún no tiene atención.","Tu entrega merece más que vivir al límite.","Esta semana es para quienes dan todo y reciben poco a cambio.","https://lainversionsiesparati.com/av051/?r={{ad.id}}","https://lainversionsiesparati.com/av051/?r=AY{creative}"
"AV052","AV2713","AUXILIARES DE SERVICIOS HOSPITALARIOS","Das todo en cada turno, pero tu esfuerzo no te asegura tranquilidad.","Mereces más que sobrevivir con tu trabajo.","Esta semana te enseña otra forma de construir futuro.","https://lainversionsiesparati.com/av052/?r={{ad.id}}","https://lainversionsiesparati.com/av052/?r=AY{creative}"
"AV053","AV1902","BAILARINES","Tu pasión mueve el cuerpo… pero, ¿y tu tranquilidad financiera?","Puedes crear estabilidad sin dejar tu arte.","Esta semana es para artistas que también quieren seguridad.","https://lainversionsiesparati.com/av053/?r={{ad.id}}","https://lainversionsiesparati.com/av053/?r=AY{creative}"
"AV054","AV2714","BIÓLOGOS","Sabes lo que ofrecen los productos… pero no cómo mover tu propio dinero con libertad.","Lo que vendes no siempre es lo que harías para ti.","Esta semana es para quienes quieren dejar de depender del sistema.","https://lainversionsiesparati.com/av054/?r={{ad.id}}","https://lainversionsiesparati.com/av054/?r=AY{creative}"
"AV055","AV2715","CAMAREROS Y AYUDANTES DE COCINA","Sirves a diario a cientos… pero, ¿quién te sirve un futuro más tranquilo?","No necesitas ganar más, necesitas moverte distinto.","Esta semana es para quienes ya no quieren vivir al día.","https://lainversionsiesparati.com/av055/?r={{ad.id}}","https://lainversionsiesparati.com/av055/?r=AY{creative}"
"AV056","AV2716","CARTÓGRAFOS Y TOPÓGRAFOS","Trazas caminos sobre el terreno… ¿y el de tu dinero, lo tienes claro?","El mapa hacia una vida más estable existe.","Esta semana te ayuda a orientarte hacia un mejor destino.","https://lainversionsiesparati.com/av056/?r={{ad.id}}","https://lainversionsiesparati.com/av056/?r=AY{creative}"
"AV057","AV1907","CLOSER","Eres experto en convencer, pero aún no has conseguido que tu dinero trabaje por ti.","Tú conviertes… ahora haz que tu dinero también lo haga.","Esta semana es para quienes viven de campañas… pero aún no lanzaron la suya hacia la libertad.","https://lainversionsiesparati.com/av057/?r={{ad.id}}","https://lainversionsiesparati.com/av057/?r=AY{creative}"
"AV058","AV1905","COACH","Acompañas procesos de cambio… pero el tuyo financiero sigue en pausa.","También mereces sostén más allá del mindset.","Esta semana es para quienes dan guía… y también la necesitan.","https://lainversionsiesparati.com/av058/?r={{ad.id}}","https://lainversionsiesparati.com/av058/?r=AY{creative}"
"AV059","AV2718","COMERCIALES Y REPRESENTANTES","Cierras ventas para otros… pero tu dinero sigue sin cerrar bien el mes.","Vendes transformación. Es hora de aplicar la tuya.","Esta semana es para los que ya saben mover palabras… y quieren mover dinero.","https://lainversionsiesparati.com/av059/?r={{ad.id}}","https://lainversionsiesparati.com/av059/?r=AY{creative}"
"AV060","AV2719","CONDUCTORES Y REPARTIDORES","Vas de un lugar a otro sin parar… pero tu dinero sigue sin avanzar.","El cansancio no te asegura estabilidad.","Esta semana es para quienes se mueven mucho… y quieren dejar de correr.","https://lainversionsiesparati.com/av060/?r={{ad.id}}","https://lainversionsiesparati.com/av060/?r=AY{creative}"
"AV061","AV2720","CONSUMIDORES DE CONTENIDO SOBRE DINERO (VÍDEOS, LIBROS, GURÚS FINANCIEROS)","Si ya viste, leíste y escuchaste de todo… pero aún no hiciste nada real.","La información sin acción solo te desgasta.","Esta semana te lleva del “saber” al “hacer”.","https://lainversionsiesparati.com/av061/?r={{ad.id}}","https://lainversionsiesparati.com/av061/?r=AY{creative}"
"AV062","AV2721","CUIDADORES / ASISTENTES SOCIALES","Cuidas la vida de otros… ¿y la tuya, quién la cuida a largo plazo?","También mereces pensar en tu bienestar.","Esta semana es para quienes siempre dejan lo suyo al final.","https://lainversionsiesparati.com/av062/?r={{ad.id}}","https://lainversionsiesparati.com/av062/?r=AY{creative}"
"AV063","AV0807","DENTISTAS","Cuidas cada detalle de una sonrisa… pero no de tu tranquilidad financiera.","La precisión que pones en cada paciente también la merece tu dinero.","Esta semana es para quienes trabajan entre piezas y revisiones… y no quieren que su futuro siga en lista de espera.","https://lainversionsiesparati.com/av063/?r={{ad.id}}","https://lainversionsiesparati.com/av063/?r=AY{creative}"
"AV064","AV2722","DEPENDIENTES FARMACÉUTICOS / PARAFARMACIA","Ayudas a otros a cuidarse… pero tu dinero aún no tiene receta.","Tu sueldo no basta si no se mueve con intención.","Esta semana te da una fórmula diferente.","https://lainversionsiesparati.com/av064/?r={{ad.id}}","https://lainversionsiesparati.com/av064/?r=AY{creative}"
"AV065","AV2723","DEPENDIENTES Y CAJEROS","Manejas el dinero de otros todos los días… pero el tuyo sigue igual.","Ya es hora de pensar más allá del próximo turno.","Esta semana es para quienes quieren dejar de contar con lo justo.","https://lainversionsiesparati.com/av065/?r={{ad.id}}","https://lainversionsiesparati.com/av065/?r=AY{creative}"
"AV066","AV1700","DEPORTISTAS PROFESIONALES","El cuerpo te da todo… pero el dinero no dura si no se mueve bien.","La energía se acaba. La estrategia perdura.","Esta semana es para quienes saben que su momento no es eterno.","https://lainversionsiesparati.com/av066/?r={{ad.id}}","https://lainversionsiesparati.com/av066/?r=AY{creative}"
"AV067","AV2724","DISEÑADORES E ILUSTRADORES VISUALES (GRÁFICOS, UX, ANIMADORES, 2D/3D/CGI)","Creas mundos visuales para otros… pero el tuyo aún se tambalea.","Tu talento no debería vivir del encargo en encargo.","Esta semana te muestra otra forma de construir base.","https://lainversionsiesparati.com/av067/?r={{ad.id}}","https://lainversionsiesparati.com/av067/?r=AY{creative}"
"AV068","AV2725","DIVORCIADOS","Si el plan de vida se rompió, aún puedes construir otro desde ti.","Aunque empezaste de cero, no estás en el punto de partida.","Esta semana es para quienes se dan una segunda oportunidad.","https://lainversionsiesparati.com/av068/?r={{ad.id}}","https://lainversionsiesparati.com/av068/?r=AY{creative}"
"AV069","AV2726","ELECTRICISTAS / INSTALADORES","Arreglas lo que no funciona… pero tu tranquilidad económica sigue colgada.","También puedes generar estabilidad sin cambiar de oficio.","Esta semana es para quienes hacen funcionar todo, menos su dinero.","https://lainversionsiesparati.com/av069/?r={{ad.id}}","https://lainversionsiesparati.com/av069/?r=AY{creative}"
"AV070","AV0802","ENFERMEROS","Turnos partidos, noches sin dormir… y aún sin un plan que te dé estabilidad.","Tu esfuerzo merece algo más que cansancio.","Esta semana es para enfermeros que cuidan sin descanso… y quieren una vida donde la estabilidad no dependa de un turno más.","https://lainversionsiesparati.com/av070/?r={{ad.id}}","https://lainversionsiesparati.com/av070/?r=AY{creative}"
"AV071","AV1908","ENTRENADORES PERSONALES Y TÉCNICOS DEPORTIVOS","Ayudas a otros a cuidarse… pero tu estabilidad financiera sigue en pausa.","Tu vocación merece más que ingresos irregulares.","Esta semana es para quienes enseñan hábitos… y quieren construir también el suyo con el dinero.","https://lainversionsiesparati.com/av071/?r={{ad.id}}","https://lainversionsiesparati.com/av071/?r=AY{creative}"
"AV072","AV1803","ESPIRITUALIDAD","Has trabajado tu interior… pero tu economía aún no refleja tu evolución.","La abundancia no llega solo por vibrar alto.","Esta semana es para quienes buscan paz… también en sus cuentas.","https://lainversionsiesparati.com/av072/?r={{ad.id}}","https://lainversionsiesparati.com/av072/?r=AY{creative}"
"AV073","AV1400","ESTUDIANTES (DE CUALQUIER CARRERA)","La universidad no te lo va a enseñar. Pero puedes aprenderlo tú ahora.","Estás invirtiendo años en formarte, pero nadie te enseña a cuidar de tu dinero.","Empezar hoy —aunque sea con poco— es lo que te va a permitir que el futuro no te pille como al resto: a ciegas.","https://lainversionsiesparati.com/av073/?r={{ad.id}}","https://lainversionsiesparati.com/av073/?r=AY{creative}"
"AV074","AV2728","ESTUDIANTES DE ECONOMÍA, ADE Y AFINES","Años de estudio… y aún sin idea de cómo lograr estabilidad económica real.","Esto no te lo enseñan en la universidad.","Esta semana es para quienes no quieren llegar tarde al dinero.","https://lainversionsiesparati.com/av074/?r={{ad.id}}","https://lainversionsiesparati.com/av074/?r=AY{creative}"
"AV075","AV2729","EX-TRADERS FRUSTRADOS QUE BUSCAN OTRA VÍA","Si ya intentaste con gráficas y adrenalina… y solo obtuviste agotamiento.","No necesitas más riesgo. Necesitas claridad.","Esta semana te muestra que hay otra forma de invertir, sin caos.","https://lainversionsiesparati.com/av075/?r={{ad.id}}","https://lainversionsiesparati.com/av075/?r=AY{creative}"
"AV076","AV0805","FARMACÉUTICOS","Recomiendas soluciones cada día… pero nadie te enseñó a tomar decisiones para tu propio futuro.","Lo que sabes detrás del mostrador no basta para asegurar tu economía.","Esta semana es para farmacéuticos que dan respuestas a diario… y buscan por fin una para su tranquilidad financiera.","https://lainversionsiesparati.com/av076/?r={{ad.id}}","https://lainversionsiesparati.com/av076/?r=AY{creative}"
"AV077","AV0804","FISIOTERAPEUTAS","Cada paciente avanza… pero tú sientes que sigues atrapado en lo mismo.","Tu motivación no debería agotarse por falta de ingresos.","Pasas el día tratando dolores ajenos… pero aún no tienes un plan que alivie el tuyo.","https://lainversionsiesparati.com/av077/?r={{ad.id}}","https://lainversionsiesparati.com/av077/?r=AY{creative}"
